date,tweet,hashtags,account,Mylabel,label
2020-09-16,"@Hotpaulzgmailc1 @CIPSRT_ICRTSP 1/2 If you are requesting an exemption from any of the Orders in Council currently in effect, or are seeking guidance on the interpretation of the Orders as it relates to your unique situation, please email phac.emergencyorderdecretdurgencecovid19.aspc@canada.ca.",[],govcanhealth,increas,decrease
2020-09-16,"@danedarT (3/4) Please consult the following page for
information for travellers without symptoms of
COVID-19 returning to Canada:
https://t.co/Jnbr6MisPs",[],govcanhealth,increas,decrease
2020-09-16,"@JumaKhamisSule6 Currently, there is no evidence that COVID-19 is transmitted by mosquitos or other insects. For tips on mosquito and insect bite prevention: https://t.co/zOBfckKv0I",[],govcanhealth,increas,decrease
2020-09-16,"When travelling to Canada, download the ArriveCAN mobile app to:

Submit your info within 48 hours before your arrival
Reduce wait times
Limit contact at the border
Help reduce the spread of #COVID19

https://t.co/qmRgpODnz7 https://t.co/oh6kahaj7Z",['covid19'],govcanhealth,increas,decrease
2020-09-15,What supports are essential in the role of public safety personnel to protect Canadians in a pandemic? Find out in the #HPCDP’s latest rapid release article by @CIPSRT_ICRTSP researchers. Now available online here: https://t.co/aR5fZ7aGDf https://t.co/9Xvps2RQsV,['hpcdp'],govcanhealth,increas,decrease
2020-09-15,@superiorhumans Thank you for your feedback. The COVID Alert app does not ask to input your symptoms on a daily basis. The App you may have downloaded and referring to may be the Canada COVID App.,[],govcanhealth,increas,decrease
2020-09-15,"LIVE: Federal health officials provide #COVID19 update
https://t.co/icPPZwwkF9",['covid19'],govcanhealth,increas,decrease
2020-09-15,"@chriisong @GouvCanSante Hi, we suggest you send your questions via email to hc.AlerteCOVIDAlert.sc@canada.ca",[],govcanhealth,increas,decrease
2020-09-15,"@Ranswick1 @CanBorder (2) 
•       avoid contact with others who did not travel with you;
•disinfect spaces after use; and
•wear a suitable non-medical mask or face covering if a distance of 2 metres from others residing in your place of quarantine cannot be maintained.",[],govcanhealth,increas,decrease
2020-09-14,"How can we reduce and manage our #COVID19 cases?
Based on emerging evidence, #PHAC has updated its advice to public health authorities on how to help reduce the spread of COVID-19. 

Read it here: https://t.co/Pkwo0jEYYZ","['covid19', 'phac']",govcanhealth,decreas,increase
2020-09-13,"Seniors are more at risk of severe outcomes to #COVID19, so show your grandparents some love from afar. ❤︎ 

Help protect your grandparents, and others by: 
#WashYourHands
#PhysicalDistancing
#StayHomeIfSick
https://t.co/UG7priocJy #GrandparentsDay https://t.co/MJgNbEDGlc","['covid19', 'washyourhands', 'physicaldistancing', 'stayhomeifsick', 'grandparentsday']",govcanhealth,increas,decrease
2020-09-13,"Planning some backyard repairs or landscaping during #COVID-19? Know how to safely use your power tools and equipment to avoid injuries by following these safety tips: https://t.co/V7TYdh9Ycc 
#backyardsafety #DIYSafety https://t.co/ixj09GviK7","['covid', 'backyardsafety', 'diysafety']",govcanhealth,increas,decrease
2020-09-11,LIVE: Federal health officials provide COVID-19 update. https://t.co/RQF9P7vdc6,[],govcanhealth,increas,decrease
2020-09-11,1/2 Our universal health care system has put us in a strong position to respond to #COVID19. We will continue to vigorously defend and support it. Read the full statement: https://t.co/BWHYLzvoDO,['covid19'],govcanhealth,increas,decrease
2020-09-10,"RT @CPHO_Canada: Today’s #COVID19 in 🇨🇦 info and updates:
➡️#GOC website on #coronavirus disease: 
https://t.co/BZVRnLFvb5 
➡️Canada COVID-19 Situational Awareness Dashboard:
https://t.co/qndBTDlKWg https://t.co/eCfhJEVCae","['covid19', 'goc', 'coronavirus']",govcanhealth,increas,decrease
2020-09-10,RT @CPHO_Canada: Today’s #COVID19 #Epidemiology in Canada Daily Update: https://t.co/LYufGib6hv https://t.co/xL93Gyz0DE,"['covid19', 'epidemiology']",govcanhealth,increas,decrease
2020-09-10,"RT @CPHO_Canada: 1/2 To date, labs across 🇨🇦 have tested 5,929,848 people for #COVID19, w\ an average ~2.1% positive overall, for a rate of 157,754 people tested per million population in Canada. 
https://t.co/H3TO8YZx7u",['covid19'],govcanhealth,increas,decrease
2020-09-09,@Sukkhh_e @CanBorder (5/5) Please consult the following page for information for travellers without symptoms of COVID-19 returning to Canada: https://t.co/Jnbr6MisPs,[],govcanhealth,increas,decrease
2020-09-09,"@acmasey (2/4) If the app has crashed, first close all the apps running on your phone, including COVID Alert, and then restart COVID Alert.",[],govcanhealth,increas,decrease
2020-09-09,"@acmasey (1/4) Thank you for reaching out about COVID Alert. We're sorry you're experiencing some technical difficulties. This is a problem with the app store, and not the app itself.",[],govcanhealth,increas,decrease
2020-09-09,"Reminder: Travellers entering Canada are required to provide mandatory info for #COVID19 upon entry.
The ArriveCAN app is the simplest way to provide this info within 48 hours before you cross the border. 

Download it today: https://t.co/yuC4VlGUHK https://t.co/Hbwiq1SeYN",['covid19'],govcanhealth,increas,decrease
2020-09-08,"@darumi2003 @GouvCanSante (2/2) It’s still helpful to download COVID Alert even if you can’t use it to report a diagnosis. That way, you'll be notified: if you come into contact with someone from a reporting province or territory; and when people in your area are able to report a diagnosis.",[],govcanhealth,decreas,equal
2020-09-08,@darumi2003 @GouvCanSante (1/2) The Government of Canada is working with the remaining provinces and territories to have COVID Alert implemented in all jurisdictions so that all Canadians can benefit from the exposure notification app.,[],govcanhealth,decreas,equal
2020-09-08,"@gusele21 @GouvCanSante (2/3) Il est tout de même utile de télécharger Alerte COVID, même si vous ne pouvez pas l’utiliser pour signaler un diagnostic. De cette façon, vous serez avisé :",[],govcanhealth,decreas,equal
2020-09-08,@gusele21 @GouvCanSante (1/3) Le gouvernement du Canada collabore avec les provinces et territoires pour mettre en œuvre l'Alerte COVID dans toutes les juridictions afin que tous les Canadiens puissent bénéficier de l'application de notification d'exposition.,[],govcanhealth,decreas,equal
2020-09-08,"@racquets100 (2/2) It’s still helpful to download COVID Alert even if you can’t use it to report a diagnosis. That way, you'll be notified: if you come into contact with someone from a reporting province or territory; and when people in your area are able to report a diagnosis.",[],govcanhealth,decreas,equal
2020-09-08,@racquets100 (1/2) The Government of Canada is working with the remaining provinces and territories to have COVID Alert implemented in all jurisdictions so that all Canadians can benefit from the exposure notification app.,[],govcanhealth,decreas,equal
2020-09-08,@profacts3 (5/5) Please consult the following page for information for travellers without symptoms of COVID-19 returning to Canada: https://t.co/Jnbr6MisPs,[],govcanhealth,decreas,equal
2020-09-08,"The Public Health Agency of Canada has released updated guidance on public health management of cases and contacts of #COVID19. 

Learn more about our public health advice on how to reduce the spread of COVID-19:  https://t.co/oE35bu8xOS",['covid19'],govcanhealth,decreas,equal
2020-09-07,"If someone in #Newfoundland and #Labrador tests positive for #COVID19, they will receive a code that can be entered in the #COVIDAlert app, which then notifies other app users who might have come in close contact with them. https://t.co/ZsdlG60Ff2 https://t.co/rbnLJ0vPuB","['newfoundland', 'labrador', 'covid19', 'covidalert']",govcanhealth,increas,decrease
2020-09-05,#Newfoundland and #Labrador: the #COVIDAlert exposure app is a safe and effective tool to prevent the spread of #COVID19. It does not track your location. Learn more about it: https://t.co/AigEKssxJb https://t.co/HktkPoyq36,"['newfoundland', 'labrador', 'covidalert', 'covid19']",govcanhealth,increas,decrease
2020-09-04,LIVE: Federal briefing on the response to COVID-19 https://t.co/vpYHjTJD9X,[],govcanhealth,increas,increase
2020-09-04,"@HMortezaei If you have no symptoms and have completed your 14 day quarantine, you can go out. 
Get information about preventing COVID-19 here:
https://t.co/BGZxOPImG0",[],govcanhealth,increas,increase
2020-09-04,"Remind your kids the importance of hand-washing as they head back to school! 

Our coloring sheets help kids remember how stay healthy in the classroom during #COVID19: https://t.co/czZcRug7Sb https://t.co/J6JRLu3YkJ",['covid19'],govcanhealth,increas,increase
2020-09-03,"Be notified if someone you’ve been near reports a positive test result. Get the COVID Alert app so that, together, we can limit the spread of COVID-19. Download it here: https://t.co/l7w6ZRNr6M",[],govcanhealth,increas,increase
2020-09-03,"Protect yourself and your loved ones by knowing if you may have been exposed. Get the COVID Alert app so that, together, we can limit the spread of COVID-19. Download it here: https://t.co/l7w6ZRNr6M",[],govcanhealth,increas,increase
2020-09-03,"Protect yourself and your loved ones by knowing if you may have been exposed. Get the COVID Alert app so that, together, we can limit the spread of COVID-19. Download it here: https://t.co/l7w6ZS51Yk",[],govcanhealth,increas,increase
2020-09-03,"Be notified if someone you’ve been near reports a positive test result. Get the COVID Alert app so that, together, we can limit the spread of COVID-19. Download it here: https://t.co/l7w6ZS51Yk",[],govcanhealth,increas,increase
2020-09-03,@kainaatnadeem (3/4) Please consult the following page for information for travellers without symptoms of COVID-19 returning to Canada: https://t.co/Jnbr6MisPs,[],govcanhealth,increas,increase
2020-09-03,"The #COVIDAlert app is now available in #Newfoundland and #Labrador. The app will notify you if you’ve recently been exposed to someone with #COVID19.
Download it today:
- Apple: https://t.co/lAPdKs5YFF
- Android: https://t.co/Pb6D4yJT2t https://t.co/ClF1UsAfDt","['covidalert', 'newfoundland', 'labrador', 'covid19']",govcanhealth,increas,increase
2020-09-03,"Are your kid’s hand-washing skills ready for back to school?

Check out our coloring sheets that educate your little ones how to stop the spread of #COVID19:
https://t.co/B3gbCl5gyZ https://t.co/WbhhzNngO1",['covid19'],govcanhealth,increas,increase
2020-09-02,"@NancyBoggard (4/4)
Please consult the following page for information for travellers without symptoms of COVID-19 returning to Canada: https://t.co/Jnbr6MisPs",[],govcanhealth,increas,increase
2020-09-02,"Heading to the grocery store? Don’t forget your mask!

Get more tips to stay healthy and prevent the spread of #COVID19 while shopping here: https://t.co/L2U0TM7UD0 https://t.co/37buUVllU9",['covid19'],govcanhealth,increas,increase
2020-09-02,@CrMadhavadas @CanBorder (5/5) Please consult the following page for information for travellers without symptoms of COVID-19 returning to Canada: https://t.co/Jnbr6MisPs,[],govcanhealth,increas,increase
2020-09-25,"As of September 21, national forecasts predict 3,400 to 7,400 new #COVID19 deaths will be reported during the week ending October 17. These forecasts predict 214,000 to 226,000 total COVID-19 deaths in the US by October 17. More: https://t.co/Ft6cgmaMPX https://t.co/ODHv6Z4h5p",['covid19'],cdcgov,increas,decrease
2020-09-25,"The latest CDC #COVIDView report shows that the percentage of people testing positive for #COVID19 continued to decline nationally. However, three regions (Central, Mountain, and Pacific Northwest) saw increases in this percentage: https://t.co/zP4VYlo0Pb. https://t.co/KnlcyeuiSD","['covidview', 'covid19']",cdcgov,increas,decrease
2020-09-25,"School administrators: Learn more about the indicators you can use to prepare, plan, and respond to #COVID19. For each indicator, we provide benchmarks for lowest to highest COVID-19 risks for school operations. Learn more: https://t.co/Wytp7O8Wgx. https://t.co/JVHTadrccQ",['covid19'],cdcgov,increas,decrease
2020-09-25,"#Parent: Think your child may have #COVID19? Keep your child home and call your child’s healthcare provider. If you think your child needs emergency care, call 911 or go to the ER immediately. Learn more: https://t.co/sB0kheLLUa. https://t.co/MkqwDW54Gt","['parent', 'covid19']",cdcgov,increas,decrease
2020-09-25,"Help meet the physical, spiritual, and mental health needs of your community by working together. Connecting people with goods and services, such as food or shelter, is one way community and faith-based orgs can promote #HealthEquity during #COVID19. More: https://t.co/rnR7s1xKPp https://t.co/s0PSVfuR4Y","['healthequity', 'covid19']",cdcgov,increas,decrease
2020-09-24,"Avoid food poisoning when getting takeout. Check restaurant inspection scores, pick up food quickly so it stays at a safe temperature, &amp; refrigerate leftovers promptly. Wear a mask when picking up to protect yourself &amp; workers from #COVID19. Learn more: https://t.co/wNLamW0AQA. https://t.co/aKKEVxtEP5",['covid19'],cdcgov,increas,decrease
2020-09-24,"New @CDCMMWR shows 100,570 #COVID19 cases, with 641 deaths, among healthcare personnel from Feb 12-July 16. In 6 states, most worked in nursing &amp; residential care facilities, and nurses were the most commonly reported job type.
https://t.co/86DC1uz4ye https://t.co/7JogA8MjXt",['covid19'],cdcgov,increas,decrease
2020-09-24,"New @CDCMMWR finds that people living in areas of Utah with lower average incomes, high unemployment rates, and other challenges were three times more likely to get #COVID19 than those living in less disadvantaged areas. Learn more: https://t.co/2Nf3WXOgwz. https://t.co/Au9dyE01Mp",['covid19'],cdcgov,increas,decrease
2020-09-24,"While #flu and #COVID19 have many symptoms in common, change in taste or smell or loss of taste or smell are symptoms only associated with COVID-19. Learn more about the differences between flu and COVID-19 here: https://t.co/BX2qPbOYpu. https://t.co/s4tW6DEMHc","['flu', 'covid19']",cdcgov,increas,decrease
2020-09-23,"#COVID19 cases have increased in recent weeks. 22 states and territories reported that cases are trending upward. Take steps to slow the spread. Wear a mask, stay 6 feet from others &amp; wash your hands. Learn more. https://t.co/CEcelDa6Hb https://t.co/YqkbBZLuxx",['covid19'],cdcgov,increas,decrease
2020-09-23,"From June to August, adults in their 20s had highest rate of #COVID19 infections, accounting for 1 of every 5 cases. New @CDCMMWR shows why young adults should take steps to slow the spread, such as wearing masks &amp; avoiding in-person gatherings. More: https://t.co/63C8mlba6O. https://t.co/LjGQW689zH",['covid19'],cdcgov,increas,decrease
2020-09-23,"Providers: If you missed CDC’s webinar on #COVID19 associated VTE risks and considerations last week, you can still watch the recorded discussion here: https://t.co/9IqmVH5CFs. #BloodDisorders https://t.co/4GJqVQ3W8S","['covid19', 'blooddisorders']",cdcgov,increas,decrease
2020-09-23,#Parent: Your child may be more likely to get severely ill from #COVID19 if they are younger than 1 or have certain medical conditions. Talk to your child’s healthcare provider about your child’s risk and how to keep your child healthy. Learn more: https://t.co/sB0kheLLUa. https://t.co/oM2bKy479R,"['parent', 'covid19']",cdcgov,increas,decrease
2020-09-23,"#DYK? The Coronavirus Self-Checker can be used by parents, caregivers, and adolescents to help decide when to seek testing or medical care for #COVID19. Learn more: https://t.co/25nXiRzAWb. https://t.co/CKnTXVsNyc","['dyk', 'covid19']",cdcgov,increas,decrease
2020-09-22,#HCPs and staff can support #HealthEquity by showing respect for all cultures and providing culturally appropriate care. Learn more about promoting health equity in healthcare during #COVID19: https://t.co/MKlWoS7xUC. https://t.co/HNYp0a9o45,"['hcps', 'healthequity', 'covid19']",cdcgov,increas,decrease
2020-09-22,"Health Departments: Check out CDC’s guidance, communication resources and training for contact tracing to adapt to your area’s needs: https://t.co/ZZHnjXwyDX. #SlowTheSpread #COVID19 https://t.co/guNN6Gyky5","['slowthespread', 'covid19']",cdcgov,increas,decrease
2020-09-22,"Contact tracing helps protect you, your family, and your community from #COVID19. Find out more: https://t.co/9ZN2zYTaud.",['covid19'],cdcgov,increas,decrease
2020-09-22,"New @CDCMMWR: Contact tracing in 2 NC counties finds many people with #COVID19 didn’t report contacts, and many contacts reported couldn’t be reached. In one county, a third of people didn’t report contacts &amp; half the contacts reported couldn’t be reached: https://t.co/tUQfUdZenX https://t.co/rYSslIziFM",['covid19'],cdcgov,increas,decrease
2020-09-22,"Protect yourself, your family, and your community this fall and winter. Be sure to #MaskUp, #LatherUp your hands, and roll your #SleeveUp for a flu vaccine to prevent flu. 
#FightFlu
Learn more about the benefits of flu vaccination: https://t.co/aB80ruNGLJ. https://t.co/YLkPZVgV6l","['maskup', 'latherup', 'sleeveup', 'fightflu']",cdcgov,increas,decrease
2020-09-21,"Know when to delay your travel to #SlowTheSpread of #COVID19. Check these common situations, and talk to your healthcare provider if you are unsure whether any of these apply to you or your travel companions. https://t.co/qikq42aNWl https://t.co/SvepZEQGMP","['slowthespread', 'covid19']",cdcgov,decreas,increase
2020-09-21,"Continue to use preventive actions, like washing your hands and wearing a mask, while you clean up or when returning home after Hurricane #Sally. https://t.co/UovXYKhRYZ #COVID19 https://t.co/CLkoMKQpGf","['sally', 'covid19']",cdcgov,decreas,increase
2020-09-21,"The latest CDC #COVIDView report shows the percentage of people testing positive for #COVID19 and of medical visits for symptoms similar to #COVID19 are decreasing or remaining stable nationally, although there has been some regional variation: https://t.co/zP4VYlo0Pb. https://t.co/VpB4OKrdEp","['covidview', 'covid19', 'covid19']",cdcgov,decreas,increase
2020-09-21,"#PublicHealth Workers: Is it difficult to stay on top of the latest #COVID19 research? CDC has launched the “COVID-19 Science Update,” a series of summaries of new COVID-19 studies on many topics. Access the summaries here: https://t.co/jCs6fCR0HA. https://t.co/NfjFgMhLGj","['publichealth', 'covid19']",cdcgov,decreas,increase
2020-09-21,"Are you hosting a #flu vaccination clinic? 

Use this CDC guidance to assist with planning during the #COVID19 pandemic: https://t.co/SOkMkZyEzQ. #FightFlu https://t.co/8tWfMdzqHY","['flu', 'covid19', 'fightflu']",cdcgov,decreas,increase
2020-09-20,"Wondering if you should delay your trip? Postpone travel if you are sick, recently tested positive for #COVID19, had close contact with a person with COVID-19 in the past 14 days, or are waiting for viral test results. Learn more: https://t.co/qikq42aNWl. #SlowTheSpread https://t.co/6Ae2WMAMS3","['covid19', 'slowthespread']",cdcgov,increas,decrease
2020-09-19,"Anyone can get an infection, and almost any infection, including #COVID19, can lead to #sepsis.  Educate yourself and your family by downloading and sharing our newly-updated patient fact sheet: https://t.co/TV9jeTe0oI. #SAM2020 https://t.co/gQd0wSTKEO","['covid19', 'sepsis', 'sam2020']",cdcgov,increas,decrease
2020-09-19,"In a community setting, remember the 3 W’s: Wash your hands. Watch your distance (stay 6 feet apart). #WearAMask. These habits can help you protect yourself and others from spreading #COVID19. Learn more: https://t.co/DmfPOB7nbu. https://t.co/IOx82JcfqF","['wearamask', 'covid19']",cdcgov,increas,decrease
2020-09-18,"The latest CDC #COVIDView report shows that, since the beginning of August, weekly hospitalization rates for all adult age groups have declined. Hospitalization rates among children have remained steady during the same period. Learn more: https://t.co/zP4VYlo0Pb. https://t.co/9b53WoAttq",['covidview'],cdcgov,increas,decrease
2020-09-18,"To slow the spread of #COVID19, CDC recommends that people wear masks in public settings when around people not living in their household, especially when other social distancing measures are difficult to maintain. Learn more: https://t.co/iOQv5OMdKA. https://t.co/Pscxipy4tC",['covid19'],cdcgov,increas,decrease
2020-09-18,"Take steps to slow the spread and protect yourself:
•Wear a mask consistently and correctly
•Avoid large gatherings
•Wash hands often
•Stay 6 feet apart from people who don’t live with you
•Continue to seek prenatal care",[],cdcgov,increas,decrease
2020-09-18,"Among pregnant women hospitalized for treatment of #COVID19, 3 in 10 required intensive care and one pregnant woman died from COVID-19, a new report of 105 pregnant women in @CDCMMWR finds. Find out more: https://t.co/8Id3LcWdG8. https://t.co/6Oxx9LUNUq",['covid19'],cdcgov,increas,decrease
2020-09-18,"School administrators: Learn more about the indicators you can use to prepare, plan, and respond to #COVID19. For each indicator, we provide benchmarks for lowest to highest COVID-19 risks for school operations. Learn more: https://t.co/Wytp7O8Wgx. https://t.co/yoLAY3YpwY",['covid19'],cdcgov,increas,decrease
2020-09-18,Use the Coronavirus Self-Checker to help decide when to seek testing or medical care for #COVID19. Learn more: https://t.co/25nXiRzAWb. https://t.co/ZzEtuVlQZV,['covid19'],cdcgov,increas,decrease
2020-09-18,"As of September 14, national forecasts predict 3,000 to 7,100 new #COVID19 deaths will be reported during the week ending October 10. These forecasts predict 207,000 to 218,000 total COVID-19 deaths in the US by October 10. More: https://t.co/Ft6cgmaMPX. https://t.co/J0PGPLPy4x",['covid19'],cdcgov,increas,decrease
2020-09-18,"Communities of faith: Are you gathering for a holiday? Help protect your community from #COVID19. #WearAMask, wash your hands, and stay at least 6 feet apart. Also, bring your own food, keep your group small, and meet outdoors if possible. 
https://t.co/MmHlQuEqWc https://t.co/6Skohih4m4","['covid19', 'wearamask']",cdcgov,increas,decrease
2020-09-17,"Heart conditions like myocarditis are associated with some cases of #COVID19. Severe cardiac damage is rare but has occurred, even in young, healthy people. CDC is working to understand how COVID-19 affects the heart and other organs. Learn more here: https://t.co/SkF0itzwhU. https://t.co/G3BPbSgabK",['covid19'],cdcgov,increas,decrease
2020-09-17,.@CDCMMWR finds steps that help slow the spread of #COVID19 may also reduce #flu if widely practiced. Report emphasizes flu vaccination remains the best protection against flu. Getting a flu vaccine is more important than ever during the #COVID19 pandemic. https://t.co/5P09xcoaTj https://t.co/2xM6Fxx8Pu,"['covid19', 'flu', 'covid19']",cdcgov,increas,decrease
2020-09-17,"New @CDCMMWR finds odds of #COVID19 outbreaks in West Virginia nursing homes are 17x higher in low quality than in high quality nursing homes, as rated by @CMSGov. Health depts can use CMS ratings to identify nursing homes at higher risk for COVID-19. https://t.co/he3qBYrUFa https://t.co/u8S6ArTvH3",['covid19'],cdcgov,increas,decrease
2020-09-17,A new @CDCMMWR examines #COVID19 in 2 skilled nursing facilities &amp; shows how researchers used genome sequencing to determine the virus was likely spreading in each facility. Steps like repeated testing of residents &amp; workers can help slow the spread. More: https://t.co/R3qD3stY0d https://t.co/0AzH6wsOPu,['covid19'],cdcgov,increas,decrease
2020-09-17,#HCPs: Attend today’s COCA call on Testing and Treatment of 2020-2021 Seasonal Influenza During the COVID-19 Pandemic at 2pm ET. Learn more: https://t.co/FXPpeY4UGX. #COVID19 https://t.co/DcPZirWLU0,"['hcps', 'covid19']",cdcgov,increas,decrease
2020-09-16,"#COVID19 cases declined in most states in the last 7 days, but COVID-19 is widespread in many areas, particularly in the upper Great Plains, Midwest, and South. Six states reported over 10,000 new cases in the last week. See more data: https://t.co/CEcelDa6Hb. https://t.co/564xEJy0BO",['covid19'],cdcgov,increas,decrease
